                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4399,                 1.5393,                 1.2633,                0.66575,                0.53199,                0.56124,                0.28903,                 1.3655,                 1.1226,                 1.2161,               0.070032,              0.0033298,              0.0033298
                      1,                 1.4181,                 1.2988,                 1.2566,                0.68092,                0.47906,                0.51841,                0.26322,                 1.5292,                 1.2753,                 1.3512,                 0.0399,              0.0065312,              0.0065312
                      2,                 1.4667,                 1.3382,                 1.2915,                0.62752,                0.44672,                0.48658,                0.23609,                 1.6853,                 1.4727,                 1.5179,              0.0096357,              0.0096006,              0.0096006
                      3,                 1.4918,                 1.3524,                 1.3095,                 0.6861,                0.46529,                0.52571,                 0.2705,                 1.5541,                 1.3192,                 1.3944,               0.009406,               0.009406,               0.009406
                      4,                 1.4419,                 1.2993,                 1.2884,                0.70307,                0.48471,                0.54358,                0.28848,                 1.5338,                 1.2535,                 1.3788,               0.009406,               0.009406,               0.009406
                      5,                 1.3995,                 1.2393,                 1.2654,                0.69566,                0.52242,                0.58229,                0.31367,                 1.4971,                 1.1574,                 1.3528,               0.009208,               0.009208,               0.009208
                      6,                 1.3695,                 1.2007,                 1.2537,                0.71105,                0.52679,                0.58072,                0.31106,                 1.4837,                 1.1444,                 1.3503,                0.00901,                0.00901,                0.00901
                      7,                 1.3477,                  1.172,                 1.2389,                0.70265,                0.53527,                0.58869,                0.31831,                 1.4335,                 1.1103,                 1.3137,               0.008812,               0.008812,               0.008812
                      8,                 1.3238,                 1.1467,                 1.2269,                0.74147,                0.54334,                0.61652,                0.33212,                 1.4447,                 1.0826,                 1.3072,               0.008614,               0.008614,               0.008614
                      9,                  1.309,                 1.1252,                 1.2166,                0.74074,                0.55206,                0.62788,                 0.3496,                 1.4098,                 1.0386,                 1.2958,               0.008416,               0.008416,               0.008416
                     10,                 1.2901,                 1.1026,                 1.2093,                0.74696,                0.55327,                0.62793,                0.35208,                  1.394,                 1.0323,                 1.2817,               0.008218,               0.008218,               0.008218
                     11,                 1.2824,                 1.0863,                 1.2032,                0.75764,                0.56088,                 0.6299,                0.35343,                 1.3809,                 1.0007,                 1.2725,                0.00802,                0.00802,                0.00802
                     12,                 1.2656,                 1.0687,                 1.1958,                0.74433,                0.56395,                0.63516,                0.35846,                 1.3612,                 1.0046,                 1.2528,               0.007822,               0.007822,               0.007822
                     13,                   1.25,                  1.057,                 1.1885,                0.76366,                0.56435,                0.64632,                 0.3717,                 1.3375,                0.96558,                 1.2499,               0.007624,               0.007624,               0.007624
                     14,                 1.2362,                  1.042,                  1.184,                0.75915,                0.57917,                0.64924,                0.36945,                  1.346,                0.98319,                 1.2482,               0.007426,               0.007426,               0.007426
                     15,                 1.2305,                 1.0312,                 1.1752,                0.75748,                0.58307,                0.66604,                0.38343,                 1.3123,                0.94782,                 1.2313,               0.007228,               0.007228,               0.007228
                     16,                 1.2173,                 1.0131,                 1.1685,                0.77928,                0.58565,                0.66731,                0.38421,                 1.3076,                0.93641,                 1.2176,                0.00703,                0.00703,                0.00703
                     17,                 1.2115,                 1.0026,                 1.1654,                0.78975,                0.58077,                0.67382,                0.39516,                 1.3049,                0.91718,                 1.2228,               0.006832,               0.006832,               0.006832
                     18,                 1.1995,                0.99041,                 1.1602,                0.77407,                0.58818,                0.67095,                0.39302,                 1.2984,                0.91927,                 1.2164,               0.006634,               0.006634,               0.006634
                     19,                 1.1895,                0.98558,                 1.1575,                0.77971,                0.59803,                0.68066,                0.40173,                 1.2761,                0.90203,                 1.2024,               0.006436,               0.006436,               0.006436
                     20,                 1.1845,                0.97682,                 1.1527,                0.77565,                0.60194,                0.68028,                0.40551,                 1.2709,                0.89157,                 1.1974,               0.006238,               0.006238,               0.006238
                     21,                 1.1712,                0.96674,                 1.1439,                 0.7819,                0.59898,                0.68264,                0.40538,                 1.2742,                0.88058,                 1.1982,                0.00604,                0.00604,                0.00604
                     22,                 1.1611,                0.95304,                 1.1393,                0.80379,                0.60169,                0.68711,                0.41271,                 1.2543,                0.86837,                 1.1935,               0.005842,               0.005842,               0.005842
                     23,                 1.1603,                0.94862,                 1.1404,                0.79091,                0.61102,                0.68419,                0.41169,                 1.2512,                0.86998,                 1.1871,               0.005644,               0.005644,               0.005644
                     24,                 1.1477,                0.93202,                 1.1289,                0.78772,                0.61492,                 0.6911,                0.41385,                 1.2488,                0.85688,                 1.1841,               0.005446,               0.005446,               0.005446
                     25,                 1.1426,                0.92122,                 1.1287,                0.79764,                0.61098,                0.69658,                0.42131,                 1.2365,                0.85265,                 1.1724,               0.005248,               0.005248,               0.005248
                     26,                 1.1336,                0.91416,                 1.1225,                0.80373,                0.61733,                0.70157,                0.42447,                 1.2384,                0.84488,                  1.179,                0.00505,                0.00505,                0.00505
                     27,                  1.127,                0.90907,                 1.1184,                 0.8024,                0.61735,                0.70141,                0.42545,                 1.2319,                0.83885,                 1.1726,               0.004852,               0.004852,               0.004852
                     28,                 1.1209,                0.90724,                 1.1202,                0.79365,                0.62814,                0.70801,                0.42945,                 1.2227,                0.82905,                 1.1679,               0.004654,               0.004654,               0.004654
                     29,                 1.1154,                0.89581,                  1.114,                0.79642,                 0.6227,                0.70946,                0.43116,                 1.2285,                0.83699,                 1.1693,               0.004456,               0.004456,               0.004456
                     30,                 1.1069,                0.88586,                 1.1082,                0.79016,                0.63158,                0.70811,                0.43403,                 1.2147,                0.83082,                 1.1626,               0.004258,               0.004258,               0.004258
                     31,                 1.0982,                 0.8816,                 1.1074,                0.79018,                0.63011,                0.71003,                0.43646,                  1.216,                0.81264,                 1.1624,                0.00406,                0.00406,                0.00406
                     32,                  1.095,                0.87515,                 1.1029,                0.79828,                0.62992,                0.71333,                0.43854,                 1.2057,                0.81113,                 1.1589,               0.003862,               0.003862,               0.003862
                     33,                 1.0895,                0.86618,                 1.1005,                0.80004,                0.62505,                0.70924,                0.43842,                 1.2043,                0.81713,                 1.1588,               0.003664,               0.003664,               0.003664
                     34,                 1.0813,                0.85953,                 1.0958,                0.79412,                0.63058,                0.71352,                0.44302,                 1.2003,                0.80744,                 1.1561,               0.003466,               0.003466,               0.003466
                     35,                 1.0742,                0.84996,                 1.0909,                0.81253,                0.62655,                0.71582,                0.44427,                 1.2013,                0.79833,                 1.1511,               0.003268,               0.003268,               0.003268
                     36,                 1.0681,                0.84592,                 1.0892,                0.80278,                0.63705,                0.71824,                 0.4438,                 1.1954,                0.80026,                 1.1454,                0.00307,                0.00307,                0.00307
                     37,                 1.0598,                0.83896,                 1.0861,                0.80768,                0.63309,                0.71679,                 0.4466,                 1.1914,                0.79521,                 1.1471,               0.002872,               0.002872,               0.002872
                     38,                 1.0551,                0.83299,                 1.0853,                0.81134,                  0.637,                0.71884,                0.44914,                 1.1815,                0.79283,                 1.1401,               0.002674,               0.002674,               0.002674
                     39,                 1.0501,                0.82913,                 1.0804,                  0.812,                0.63452,                0.72085,                0.44925,                 1.1829,                0.79041,                 1.1418,               0.002476,               0.002476,               0.002476
                     40,                 1.0451,                0.81713,                 1.0768,                 0.8049,                0.64512,                0.72315,                0.45202,                 1.1799,                0.79221,                 1.1366,               0.002278,               0.002278,               0.002278
                     41,                 1.0364,                 0.8126,                 1.0758,                0.80299,                0.64618,                0.72488,                0.45372,                 1.1785,                0.78389,                 1.1357,                0.00208,                0.00208,                0.00208
                     42,                 1.0277,                0.80545,                 1.0732,                0.81565,                0.63912,                0.72547,                0.45537,                 1.1738,                0.78467,                  1.134,               0.001882,               0.001882,               0.001882
                     43,                 1.0326,                0.80473,                 1.0713,                0.81156,                0.64165,                0.72713,                0.45681,                 1.1693,                0.77858,                  1.132,               0.001684,               0.001684,               0.001684
                     44,                 1.0191,                0.79177,                 1.0676,                0.81554,                0.64203,                0.72765,                0.45783,                 1.1695,                0.77585,                 1.1331,               0.001486,               0.001486,               0.001486
                     45,                 1.0121,                 0.7859,                 1.0621,                0.80877,                  0.647,                 0.7267,                0.45728,                 1.1695,                0.77441,                 1.1331,               0.001288,               0.001288,               0.001288
                     46,                 1.0083,                0.78043,                 1.0613,                0.81434,                0.63959,                0.72767,                0.45835,                 1.1696,                 0.7722,                 1.1326,                0.00109,                0.00109,                0.00109
                     47,                 1.0002,                0.77671,                 1.0596,                0.81238,                0.64128,                0.72671,                0.45842,                 1.1686,                0.76991,                 1.1327,               0.000892,               0.000892,               0.000892
                     48,                0.99839,                0.76953,                 1.0556,                0.81682,                0.64212,                0.72842,                0.45965,                 1.1668,                0.76789,                 1.1305,               0.000694,               0.000694,               0.000694
                     49,                0.98561,                0.76222,                 1.0529,                0.82075,                0.63762,                0.72765,                 0.4595,                 1.1662,                0.76718,                 1.1297,               0.000496,               0.000496,               0.000496
